Error,ExternalID,Name,Description,Version,level,Parentnode,Is include
Invalid parentnode reference key Home & Gift : Cards : Occasion for hierarchyversionid 2.,Home & Gift : Cards : Occasion : Thank you,Thank you,,OB 2023 version1,OB Type,Home & Gift : Cards : Occasion,TRUE
Invalid parentnode reference key Home & Gift : Cards : Occasion : Thank you for hierarchyversionid 2.,Home & Gift : Cards : Occasion : Thank you : Single,Single,,OB 2023 version1,Type Detail,Home & Gift : Cards : Occasion : Thank you,TRUE
Invalid parentnode reference key Home & Gift : Cards : Occasion for hierarchyversionid 2.,Home & Gift : Cards : Occasion : Wedding,Wedding,,OB 2023 version1,OB Type,Home & Gift : Cards : Occasion,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Home & Gift : Cards : Seasonal,Seasonal,,OB 2023 version1,Sub Product Group,Home & Gift : Cards,TRUE
Invalid parentnode reference key Home & Gift : Cards : Seasonal for hierarchyversionid 2.,Home & Gift : Cards : Seasonal : Christmas,Christmas,,OB 2023 version1,OB Type,Home & Gift : Cards : Seasonal,TRUE
Invalid parentnode reference key Home & Gift : Cards : Seasonal : Christmas for hierarchyversionid 2.,Home & Gift : Cards : Seasonal : Christmas : Pack,Pack,,OB 2023 version1,Type Detail,Home & Gift : Cards : Seasonal : Christmas,TRUE
Invalid parentnode reference key Home & Gift : Cards : Seasonal : Christmas for hierarchyversionid 2.,Home & Gift : Cards : Seasonal : Christmas : Single,Single,,OB 2023 version1,Type Detail,Home & Gift : Cards : Seasonal : Christmas,TRUE
Invalid parentnode reference key Home & Gift : Cards : Seasonal for hierarchyversionid 2.,Home & Gift : Cards : Seasonal : Father's day,Father's day,,OB 2023 version1,OB Type,Home & Gift : Cards : Seasonal,TRUE
Invalid parentnode reference key Home & Gift : Cards : Seasonal for hierarchyversionid 2.,Home & Gift : Cards : Seasonal : Mother's day,Mother's day,,OB 2023 version1,OB Type,Home & Gift : Cards : Seasonal,TRUE
Invalid parentnode reference key Home & Gift : Cards : Seasonal for hierarchyversionid 2.,Home & Gift : Cards : Seasonal : Religious celebration,Religious celebration,,OB 2023 version1,OB Type,Home & Gift : Cards : Seasonal,TRUE
Invalid parentnode reference key Home & Gift : Cards : Seasonal for hierarchyversionid 2.,Home & Gift : Cards : Seasonal : Valentine's day,Valentine's day,,OB 2023 version1,OB Type,Home & Gift : Cards : Seasonal,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Home & Gift : Kitchen & dining : Hot drinkware : Mug : Set,Set,,OB 2023 version1,Type Detail,Home & Gift : Kitchen & dining : Hot drinkware : Mug,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Home & Gift : Kitchen & dining : Table setting : Coaster,Coaster,,OB 2023 version1,OB Type,Home & Gift : Kitchen & dining : Table setting,TRUE
You cannot set the same parent node for two nodes with the same name. Please select a different parent node or change the node name.,Home & Gift : Kitchen & dining : Table setting : Napkin ring,Napkin ring,,OB 2023 version1,OB Type,Home & Gift : Kitchen & dining : Table setting,TRUE
