ExternalID,Name,Description,Version,level,Parentnode,Is include
Fashion : Bags : Bag strap small accessories : Shoulder bag strap : Polyester,Polyester,,OB 2023 version1,Type Detail,Fashion : Bags : Bag strap small accessories : Shoulder bag strap,TRUE
Fashion : Bags : Cardholder small accessories,Cardholder small accessories,,OB 2023 version1,Sub Product Group,Fashion : Bags,TRUE
Fashion : Bags : Cardholder small accessories : Cardholder,Cardholder,,OB 2023 version1,OB Type,Fashion : Bags : Cardholder small accessories,TRUE
Fashion : Bags : Cardholder small accessories : Cardholder : Leather,Leather,,OB 2023 version1,Type Detail,Fashion : Bags : Cardholder small accessories : Cardholder,TRUE
Fashion : Bags : Cardholder small accessories : Cardholder : Natural,Natural,,OB 2023 version1,Type Detail,Fashion : Bags : Cardholder small accessories : Cardholder,TRUE
Fashion : Bags : Cardholder small accessories : Cardholder : Polypropylene,Polypropylene,,OB 2023 version1,Type Detail,Fashion : Bags : Cardholder small accessories : Cardholder,TRUE
Fashion : Bags : Cardholder small accessories : Cardholder : Pu,Pu,,OB 2023 version1,Type Detail,Fashion : Bags : Cardholder small accessories : Cardholder,TRUE
Fashion : Bags : Clutch bag,Clutch bag,,OB 2023 version1,Sub Product Group,Fashion : Bags,TRUE
Fashion : Bags : Clutch bag : Box,Box,,OB 2023 version1,OB Type,Fashion : Bags : Clutch bag,TRUE
Fashion : Bags : Clutch bag : Box : Cotton,Cotton,,OB 2023 version1,Type Detail,Fashion : Bags : Clutch bag : Box,TRUE
Fashion : Bags : Clutch bag : Box : Natural,Natural,,OB 2023 version1,Type Detail,Fashion : Bags : Clutch bag : Box,TRUE
Fashion : Bags : Clutch bag : Box : Plastic,Plastic,,OB 2023 version1,Type Detail,Fashion : Bags : Clutch bag : Box,TRUE
Fashion : Bags : Clutch bag : Box : Polyester,Polyester,,OB 2023 version1,Type Detail,Fashion : Bags : Clutch bag : Box,TRUE
Fashion : Bags : Clutch bag : Clasp top,Clasp top,,OB 2023 version1,OB Type,Fashion : Bags : Clutch bag,TRUE
Fashion : Bags : Clutch bag : Clasp top : Cotton,Cotton,,OB 2023 version1,Type Detail,Fashion : Bags : Clutch bag : Clasp top,TRUE
Fashion : Bags : Clutch bag : Clasp top : Polyester,Polyester,,OB 2023 version1,Type Detail,Fashion : Bags : Clutch bag : Clasp top,TRUE
Fashion : Bags : Clutch bag : Clasp top : Pu,Pu,,OB 2023 version1,Type Detail,Fashion : Bags : Clutch bag : Clasp top,TRUE
Fashion : Bags : Clutch bag : Flapover,Flapover,,OB 2023 version1,OB Type,Fashion : Bags : Clutch bag,TRUE
Fashion : Bags : Clutch bag : Flapover : Cotton,Cotton,,OB 2023 version1,Type Detail,Fashion : Bags : Clutch bag : Flapover,TRUE
Fashion : Bags : Clutch bag : Flapover : Leather,Leather,,OB 2023 version1,Type Detail,Fashion : Bags : Clutch bag : Flapover,TRUE
Fashion : Bags : Clutch bag : Flapover : Polyester,Polyester,,OB 2023 version1,Type Detail,Fashion : Bags : Clutch bag : Flapover,TRUE
Fashion : Bags : Clutch bag : Flapover : Pu,Pu,,OB 2023 version1,Type Detail,Fashion : Bags : Clutch bag : Flapover,TRUE
Fashion : Bags : Clutch bag : Money,Money,,OB 2023 version1,OB Type,Fashion : Bags : Clutch bag,TRUE
Fashion : Bags : Clutch bag : Money : Cotton,Cotton,,OB 2023 version1,Type Detail,Fashion : Bags : Clutch bag : Money,TRUE
Fashion : Bags : Clutch bag : Money : Natural,Natural,,OB 2023 version1,Type Detail,Fashion : Bags : Clutch bag : Money,TRUE
Fashion : Bags : Clutch bag : Money : Polyester,Polyester,,OB 2023 version1,Type Detail,Fashion : Bags : Clutch bag : Money,TRUE
Fashion : Bags : Clutch bag : Zip top,Zip top,,OB 2023 version1,OB Type,Fashion : Bags : Clutch bag,TRUE
Fashion : Bags : Clutch bag : Zip top : Leather,Leather,,OB 2023 version1,Type Detail,Fashion : Bags : Clutch bag : Zip top,TRUE
Fashion : Bags : Clutch bag : Zip top : Natural,Natural,,OB 2023 version1,Type Detail,Fashion : Bags : Clutch bag : Zip top,TRUE
Fashion : Bags : Clutch bag : Zip top : Polyester,Polyester,,OB 2023 version1,Type Detail,Fashion : Bags : Clutch bag : Zip top,TRUE
Fashion : Bags : Clutch bag : Zip top : Pu,Pu,,OB 2023 version1,Type Detail,Fashion : Bags : Clutch bag : Zip top,TRUE
Fashion : Bags : Crossbody bag,Crossbody bag,,OB 2023 version1,Sub Product Group,Fashion : Bags,TRUE
Fashion : Bags : Crossbody bag : Bucket,Bucket,,OB 2023 version1,OB Type,Fashion : Bags : Crossbody bag,TRUE
Fashion : Bags : Crossbody bag : Bucket : Cotton,Cotton,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Bucket,TRUE
Fashion : Bags : Crossbody bag : Bucket : Embellished,Embellished,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Bucket,TRUE
Fashion : Bags : Crossbody bag : Bucket : Leather,Leather,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Bucket,TRUE
Fashion : Bags : Crossbody bag : Bucket : Plastic,Plastic,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Bucket,TRUE
Fashion : Bags : Crossbody bag : Bucket : Pu,Pu,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Bucket,TRUE
Fashion : Bags : Crossbody bag : Camera,Camera,,OB 2023 version1,OB Type,Fashion : Bags : Crossbody bag,TRUE
Fashion : Bags : Crossbody bag : Camera : Leather,Leather,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Camera,TRUE
Fashion : Bags : Crossbody bag : Camera : Polyester,Polyester,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Camera,TRUE
Fashion : Bags : Crossbody bag : Camera : Pu,Pu,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Camera,TRUE
Fashion : Bags : Crossbody bag : Concertina,Concertina,,OB 2023 version1,OB Type,Fashion : Bags : Crossbody bag,TRUE
Fashion : Bags : Crossbody bag : Concertina : Pu,Pu,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Concertina,TRUE
Fashion : Bags : Crossbody bag : Flapover,Flapover,,OB 2023 version1,OB Type,Fashion : Bags : Crossbody bag,TRUE
Fashion : Bags : Crossbody bag : Flapover : Cotton,Cotton,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Flapover,TRUE
Fashion : Bags : Crossbody bag : Flapover : Leather,Leather,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Flapover,TRUE
Fashion : Bags : Crossbody bag : Flapover : Natural,Natural,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Flapover,TRUE
Fashion : Bags : Crossbody bag : Flapover : Polyester,Polyester,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Flapover,TRUE
Fashion : Bags : Crossbody bag : Flapover : Pu,Pu,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Flapover,TRUE
Fashion : Bags : Crossbody bag : Mini,Mini,,OB 2023 version1,OB Type,Fashion : Bags : Crossbody bag,TRUE
Fashion : Bags : Crossbody bag : Mini : Natural,Natural,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Mini,TRUE
Fashion : Bags : Crossbody bag : Mini : Polyester,Polyester,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Mini,TRUE
Fashion : Bags : Crossbody bag : Mini : Polypropylene,Polypropylene,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Mini,TRUE
Fashion : Bags : Crossbody bag : Mini : Pu,Pu,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Mini,TRUE
Fashion : Bags : Crossbody bag : Multi pocket,Multi pocket,,OB 2023 version1,OB Type,Fashion : Bags : Crossbody bag,TRUE
Fashion : Bags : Crossbody bag : Multi pocket : Polypropylene,Polypropylene,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Multi pocket,TRUE
Fashion : Bags : Crossbody bag : Multi pocket : Pu,Pu,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Multi pocket,TRUE
Fashion : Bags : Crossbody bag : Phone crossbody,Phone crossbody,,OB 2023 version1,OB Type,Fashion : Bags : Crossbody bag,TRUE
Fashion : Bags : Crossbody bag : Phone crossbody : Cotton,Cotton,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Phone crossbody,TRUE
Fashion : Bags : Crossbody bag : Phone crossbody : Plastic,Plastic,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Phone crossbody,TRUE
Fashion : Bags : Crossbody bag : Phone crossbody : Polyester,Polyester,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Phone crossbody,TRUE
Fashion : Bags : Crossbody bag : Phone crossbody : Pu,Pu,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Phone crossbody,TRUE
Fashion : Bags : Crossbody bag : Purse crossbody,Purse crossbody,,OB 2023 version1,OB Type,Fashion : Bags : Crossbody bag,TRUE
Fashion : Bags : Crossbody bag : Purse crossbody : Pu,Pu,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Purse crossbody,TRUE
Fashion : Bags : Crossbody bag : Round,Round,,OB 2023 version1,OB Type,Fashion : Bags : Crossbody bag,TRUE
Fashion : Bags : Crossbody bag : Round : Leather,Leather,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Round,TRUE
Fashion : Bags : Crossbody bag : Round : Natural,Natural,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Round,TRUE
Fashion : Bags : Crossbody bag : Round : Polyester,Polyester,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Round,TRUE
Fashion : Bags : Crossbody bag : Round : Pu,Pu,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Round,TRUE
Fashion : Bags : Crossbody bag : Roung,Roung,,OB 2023 version1,OB Type,Fashion : Bags : Crossbody bag,TRUE
Fashion : Bags : Crossbody bag : Roung : Pu,Pu,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Roung,TRUE
Fashion : Bags : Crossbody bag : Saddle,Saddle,,OB 2023 version1,OB Type,Fashion : Bags : Crossbody bag,TRUE
Fashion : Bags : Crossbody bag : Saddle : Leather,Leather,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Saddle,TRUE
Fashion : Bags : Crossbody bag : Saddle : Polyester,Polyester,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Saddle,TRUE
Fashion : Bags : Crossbody bag : Saddle : Pu,Pu,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Saddle,TRUE
Fashion : Bags : Crossbody bag : Saddlr,Saddlr,,OB 2023 version1,OB Type,Fashion : Bags : Crossbody bag,TRUE
Fashion : Bags : Crossbody bag : Saddlr : Pu,Pu,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Saddlr,TRUE
Fashion : Bags : Crossbody bag : Sling,Sling,,OB 2023 version1,OB Type,Fashion : Bags : Crossbody bag,TRUE
Fashion : Bags : Crossbody bag : Sling : Cotton,Cotton,,OB 2023 version1,Type Detail,Fashion : Bags : Crossbody bag : Sling,TRUE
